Title,Summary,Classification,Human_Safety,Infrastructure,Communication,Finance,Controllable
Thousands of 'malicious' COVID-19 domains containing malware created daily,"In Australia, research group Unit 42 detected 534 malicious COVID-19 themed domains were created in the past six weeks.",Cyber,Safe,No impact,Impact,No impact,Yes
"Two men charged after meth packages intercepted in Brisbane, Perth",It is alleged a large amount of the total 12 kilograms of methamphetamine seized was concealed within furniture parts.,Physical,Safe,No impact,No impact,No impact,Yes
I went to Shore but I'm not sending my son there,"Many of these students will carry unhealthy attitudes and values forward into universities, workplaces, relationships and family homes. They__l harbour unconscious biases that may take decades to confront. I__ proof of that.",No threat,Safe,No impact,No impact,No impact,Yes
More than 20 million VPN users warned of massive data breach,Mentor cybersecurity researchers provided 9New with a report claiming they found an unsecure server.,Cyber,Safe,No impact,Impact,Impact,Yes
Compromised war crimes investigation is a stain on Australia's honour,Mick Keelty's sharing of confidential information about an investigation into war crimes in Afghanistan to former SAS veteran Ben Roberts-Smith must be investigated properly.,No threat,Safe,No impact,No impact,No impact,Yes
#ProudShoreMums stand up for their sons after muck-up day controversy,"Mothers have been posting photos on Instagram and Facebook of their children in Shore uniform, adding blue and white hearts to represent the school's colours.",No threat,Safe,No impact,No impact,No impact,Yes
COVID-19 tracking app a 'fundamental weapon' despite privacy fears,National Deputy Chief Medical Officer Dr Nick Coatsworth has defended the development of a tracking app for COVID-19 cases.,Cyber,Not safe,No impact,No impact,No impact,Yes
Coronavirus scammers steal $1.1 million from fearful victims,Nefarious and fast-moving crooks have exploited the coronavirus to scam more than $1 million from hapless victims who were fearful about the growing COVID-19 pandemic.,Cyber,Safe,No impact,Impact,Impact,Yes
Anonymous tip boosts investigation into hit-and-run death of firefighter,New Zealander Ian Pullen had come to Australia to help with the 2018 bushfire season. He never returned home.,No threat,Safe,No impact,No impact,No impact,No
Nigeria-based scammers could be in Australia's backyard,"Nigeria-based scammers, who target millions of Australian email accounts, could be closer to home than you may think.",Cyber,Safe,No impact,Impact,No impact,No
"Credit card details, passports compromised by Scouts Victoria phishing scam",Nine hundred people have had their private information compromised by an email hack targeting Scouts Victoria.,Cyber,Safe,No impact,Impact,Impact,Yes
Racing officials probe horse racing outfit over cryptocurrency scam,"Phoenix Thoroughbreds, which co-owns Australian Group 1 winner Farnan who is trained by Gai Waterhouse, was banned from racing in France earlier this month after a prosecution witness alleged in a New York court that its Dubai-based owner Amer Abdulaziz Salman had stolen $161 million in the OneCoin cryptocurrency scheme.",Cyber,Safe,No impact,No impact,Impact,No
Crashed car focus of investigation into 'targeted' fatal stabbing,Police believe the events leading up to a black car crashing into a creek in western Sydney could help them understand why a man was fatally stabbed nearby.,Physical,Possible safe,Impact,No impact,No impact,Yes
Five men arrested over multi-million dollar email scam,Police have made five further arrests in Sydney as part of an ongoing investigation into an alleged $4.7 million email scam syndicate targeting businesses.,Cyber,Safe,No impact,Impact,Impact,Yes
Coronavirus scammer tries to sell 'world's largest statue',Police in India have launched an investigation after someone tried to sell the world's largest statue online for $4 billion.,Cyber,Safe,No impact,Impact,Impact,Yes
Stabbing attack near former offices of Charlie Hebdo magazine in Paris,Police responded to an incident near the former offices of a magazine attacked by terrorists during a deadly wave of assaults five years ago.,Physical,Safe,No impact,No impact,No impact,No
Man taken to hospital after stabbing on Sydney's northern beaches,Police said the man in his 30s was stabbed during an altercation at Collaroy and officers established a crime scene.,Physical,Not safe,No impact,No impact,No impact,No
Group charged with attempted murder over alleged CBD stabbing attack,Police were called to Queen Street on Friday night after reports four men were involved in an alleged disturbance that left a 16-year-old boy with back and torso wounds.,Physical,Not safe,No impact,No impact,No impact,No
'Sophisticated state-based' cyber attack hits Australia,Prime Minister Scott Morrison says Australian private and public sector organisations are being targeted in a sophisticated cyber attack by a foreign entity.,Cyber,Possible safe,No impact,Impact,Impact,Yes
Hacking attack threatens iconic beer supply,Queensland's iconic XXXX beer could be in short supply in coming weeks as owner Lion Nathan grapples with a major cyber-security breach.,Cyber,Possible safe,No impact,Impact,No impact,No
Three more charged over Surfers Paradise stabbing death,"Raymond Harris, 27, was stabbed in the torso with a hunting knife on Wednesday and died shortly after in hospital.",Physical,Not safe,No impact,No impact,No impact,No
Man charged in Bathurst over alleged importation of firearms,"Robert Bettles was charged with possessing an unregistered firearm, not keeping the firearm safely, possessing ammunition without having a licence or permit or authority, and possessing or using a prohibited weapon without a permit.",Physical,Possible safe,No impact,No impact,No impact,Yes
Scams cost Aussies more than $630 million,"Scams cost Australians more than $634 million last year, according to a report by the Australian Competition and Consumer Commission (ACCC).",Cyber,Safe,No impact,Impact,Impact,No
New Zealand-born police officer shot dead in London police station,"Sergeant Matiu Ratana was shot dead inside the police station by a suspect who was handcuffed at the time, police said.",Physical,Not safe,No impact,No impact,No impact,No
Serious security flaws exposed in hotel quarantine inquiry,Serious flaws in the training given to security guards have been exposed during a probe into Victoria's hotel quarantine program.,Physical,Not safe,Impact,No impact,No impact,No
Woman charged over 'Australian first' Bitcoin cybercrime,"She is accused of being part of a syndicate profiting off the unlawful exchange of Bitcoin, and yesterday NSW Police seized $60,000 and 3.6 Bitcoin.",Physical,Safe,Impact,No impact,Impact,No
More elite Sydney schools drawn into 'criminal' muck-up day fiasco,St Aloysius' College and other schools in northern Sydney have become embroiled in a controversy triggered by Shore School year 12s.,No threat,Safe,No impact,No impact,No impact,Yes
The most dangerous movies and TV shows to watch now,Streaming services are getting a big workout during the coronavirus pandemic - but using them could cost you more than you think.,No threat,Safe,Impact,Impact,Impact,Yes
Man kicks dog during alleged Stones Corner spree involving 'large kitchen knife',The 27-year-old will face court on 13 charges after an alleged spree in Brisbane's south that saw him allegedly threaten seven people and attack a dog.,No threat,Safe,No impact,No impact,No impact,Yes
Red Cross $216m bushfire donation fund targeted by cyber hacks,The Australian Red Cross has been hit by almost 900 cyber attacks attempting to access the $216 million raised in donations for bushfire victims.,Cyber,Possible safe,No impact,Impact,Impact,Yes
The teenage brain is a work-in-progress. Remember that when blaming the Shore students,The class of 2020 year 12 will always be remembered for having graduated during a time of global upheaval and discord. They should be forgiven for wanting to blow off some steam - but not at the expense of the community.,No threat,Safe,No impact,No impact,No impact,Yes
"'Drug kingpins' to be extradited to Australia, court in Dubai orders",The court has approved the extradition to Australia of two Sydney men over their role in an alleged major drug importation ring.,Physical,Safe,No impact,No impact,No impact,Yes
'Not all Australians are the good guys': Citizens in cyber spy agency's sights,The head of Australia's cyber spy agency will declare it has been collecting intelligence on Australians for at least 20 years.,Cyber,Possible safe,No impact,No impact,No impact,No
Former CSIRO worker avoids jail for using supercomputers to mine cryptocurrency,The man's activities diverted computing power from important scientific projects and netted him $9400 worth of cryptocurrency.,Physical,Safe,No impact,No impact,No impact,Yes
Two charged over COVID-19 outbreak at US veterans' home that left 76 dead,The medical director and superintendent of the facility were indicted on charges of criminal neglect in connection to a coronavirus outbreak.,Physical,Not safe,No impact,No impact,Impact,Yes
Terrorists behind 9/11 'stronger than ever',"The multi-trillion dollar 'War on terror' has failed to quash terrorist cells such as Al Qaeda nineteen years after the 9/11 attacks, an expert has warned.",Physical,Not safe,Impact,Impact,No impact,No
Offshore cyber attack shuts down NZ stock exchange for second day,The New Zealand stock exchange has been shut down because of a serious cyber attack from overseas.,Cyber,Possible safe,No impact,Impact,Impact,Yes
Relic of Pope John Paul II's blood stolen from Italian cathedral,The relic was in the Spoleto cathedral temporarily and was due to be moved next month to a new church in Umbria named after the saint and late pope.,Physical,Safe,Impact,No impact,Impact,No
University of Tasmania IT bungle leads to mass student data breach,Thousands of University of Tasmania (UTAS) students have had their personal information exposed to the entire campus after an IT bungle.,Cyber,Safe,No impact,Impact,No impact,Yes
Two men arrested over massive fake SMS scam operating out of Sydney,Two men accused of orchestrating a sophisticated SMS phishing scam to steal identities have been arrested by Federal Police.,Cyber,Safe,No impact,Impact,No impact,Yes
Quarantine breachers vow to return to state 'by force',"Two young South Australian women penalised for breaching coronavirus quarantine in Perth have pledged that they'll return _ ""by force"" if necessary.",Physical,Not safe,Impact,No impact,No impact,Yes
China blamed for hack on WA government,"Western Australian officials have launched an investigation after the office of Premier Mark McGowan was reportedly targeted in a cyber-attack linked to the Chinese military.",Cyber,Possible safe,No impact,Impact,Impact,No
Police find tonne of suspected cocaine after tracing boat on suspicious route,"When investigators boarded the Coralynne, they found a fire in the engine room and what they allege was more than a tonne of drugs in the boat, unconcealed.",Physical,Safe,No impact,No impact,No impact,Yes
,-The massive amount of emails received -Perceived security of the office environment -Lack of security culture #cybersecurity #infosec #riskmanagement #encryption #dataprotection #privacy #tech #phishing #cyberattack #training #ransomware #business #support #technology #security https://t.co/YsGO6Rjldy',Cyber,Safe,No impact,No impact,No impact,Yes
,". #WednesdayMotivation:  #UNFIT &amp; #Empathy-LESS #DonaldTrump's CAUGHT Admitting he Knew in January How Dangerous #COVID19 IS!!!  Then he REFUSED to Respond to That #Threat to #America!!!  #Trump's #GUILTY of ...  #Negligent #Homicide of 200k Americans!!!  . https://t.co/8YOZsQZ3tt""",No threat,Safe,No impact,No impact,No impact,Yes
,".@HacksInTaiwan attendees! Head to R1 right now to see the latest findings from last year's year-long #cyberattack  on the Taiwan #semiconductor industry \xf0\x9f\x91\xbe   \xe4\xba\x86\xe8\xa7\xa3\xe6\x9b\xb4\xe5\xa4\x9a \xe2\x8f\xa9   https://t.co/1wY18vChWB   @bletchley13 @Inndy_tw @SecurityThunder #HITCON #HITCON2020 https://t.co/OkqS4kXlG2""",Cyber,Safe,No impact,No impact,No impact,Yes
,".@KElectricPk, the biggest electricity provider in #Karachi, on Friday afternoon said it had restored customer services, after a #cyberattack demanding $3.85 million in ransom. - Read special by @Khurshid72  https://t.co/cui8cyzWG2'",Cyber,Safe,Impact,Impact,Impact,Yes
,".@USTreasury has released a #sanctionslist list of #Russian #hackers and their #cryptoaddresses, under allegations that they have been working to #interfere with #PresidentialElection2020.   #cyberattack #politics #cryptonews #fraud #hacking #conspiracy  https://t.co/5jAOW2SzxL'",Cyber,Safe,No impact,No impact,No impact,Yes
,"'#Aldermen begrudgingly OK multi-million-dollar #settlement to #veterancop #punished for reporting #threats by fellow #officer'  #F12 #ACAB  https://t.co/NEeVKfNzXF""",No threat,Safe,No impact,No impact,No impact,Yes
,"'#Playitdown': #Trump #admits to concealing the true #threat of #coronavirus in #new #Woodward book https://t.co/DKATH1WX99""",No threat,Safe,No impact,No impact,No impact,Yes
,"'Play it down': #Trump admits to concealing the true #threat of #coronavirus in new #Woodward book. #leadership #pandemic #transparency https://t.co/pbC9Ax7h7g""",No threat,Safe,No impact,No impact,No impact,Yes
,"'Scammer cloned my business on Instagram' #CyberAttack #socialmedia via https://t.co/s7n0wYZc3s https://t.co/eIVL0jxqhE""",No threat,Safe,No impact,No impact,No impact,No
,"'Scammer cloned my business on Instagram' #SocialMedia #cyberattack  https://t.co/QexfS7tt8X""",No threat,Safe,No impact,No impact,No impact,No
,"""19% of buyers say they\xe2\x80\x99ll stop shopping at a store that has experienced a #cyberattack."" #RetailIT #DataProtection  Read the article, ""The Benefits of Cloud-based POS Systems for Retail"" \xe2\x9e\xa1\xef\xb8\x8f https://t.co/dJSBM1YhbT https://t.co/a6PWFNmOMl'",No threat,Safe,Impact,No impact,No impact,No
,"""19% of buyers say they\xe2\x80\x99ll stop shopping at a store that has experienced a #cyberattack."" #RetailIT #DataProtection  Read the article, ""The Benefits of Cloud-based POS Systems for Retail"" \xe2\x9e\xa1\xef\xb8\x8f https://t.co/pmXqSDeXPg https://t.co/ij7L1SuLha'",No threat,Safe,Impact,No impact,No impact,No
,"""About 20,000 #doctors have fled #Iraq in recent years over #threats and targeted #killings, severely hampering #healthcare.\xe2\x80\x9d  #failedstate  https://t.co/rTdlUBUwiR https://t.co/dDgV8NFfs7'",No threat,Safe,No impact,No impact,No impact,Yes
,"""After 9/11, any purported #terrorist #threat anywhere purportedly justified the Bush administration\xe2\x80\x99s seizure of boundless power. With the #pandemic, almost all #Covid cases justify #politicians prohibiting almost any type of behavior."" -@JimBovard  @aier https://t.co/3T8t0I0Tcv'",No threat,Safe,No impact,No impact,No impact,No
,"""Argentina\'s official immigration agency, Direcci\xc3\xb3n Nacional de Migraciones, suffered a Netwalker #ransomware attack that temporarily halted border crossing into and out of the country."" via @BleepinComputer #cybersec #cybersecurity #cyberattack    https://t.co/8UMDiBrUdq'",Cyber,Safe,Impact,No impact,No impact,Yes
,"""CYBERSECURITY REPORTS ARE DRIVEN BY PROFITS"". Most cyber-security reports only focus on the cool threats... \xf0\x9f\x91\x89 https://t.co/lGuzfD17TU  #CyberSecurity #report #threat #cyberthreats https://t.co/IXw8BjvyvD'",No threat,Safe,No impact,No impact,No impact,No
,"""Cybersquatting"" attacks mimic legitimate domain names in an effort to profit. Jen Miller Osborn, deputy director of #threat research for @Unit42_Intel @PaloAltoNtwks explains. https://t.co/BBdKigs4Ww'",No threat,Safe,No impact,No impact,No impact,No
,"""Hackers do not discriminate \xe2\x80\x93 they are hitting organizations large and small, with or without abundant cybersecurity resources. Protecting your vessel OT environment is no easy task..."" https://t.co/RwtDvQ2rST  #cybersecurity #maritime #cyberattack #cyberdefense https://t.co/vRqB0KduZS'",No threat,Safe,Impact,No impact,No impact,Yes
,"""I\'m gonna shit in one hand. Then shit in my other hand and just start clapping. I WILL SHIT CLAP ALL OVER EVERYTHING YOU LOVE."" -my ex, to someone else. #insults #threats #unsettling'",No threat,Safe,No impact,No impact,No impact,No
,"""If nothing changes, populations will undoubtedly continue to fall, driving wildlife to extinction and threatening the integrity of the ecosystems on which we depend\xe2\x80\x9d CATASTROPHIC DECLINE. #environment #wildlife #Threat #extinction #ClimateEmergency #ecosystem #ClimateAction https://t.co/rrjeXCzggf'",No threat,Safe,No impact,No impact,No impact,No
,"""Marjorie Taylor Greene"" - Another #MAGA #Motherfucker #Threatening those that oppose #Fuhrer #Trump - Maybe the @FBI  should look into this #Threat ? #LockHerUp #MarjorieTaylorGreene @washingtonpost @nytimes @NYDailyNews @SpeakerPelosi @SenSchumer @FaceTheNation https://t.co/c9WCn9KSeL'",No threat,Safe,No impact,No impact,No impact,No
,"""Marjorie Taylor Greene"" - Another #MAGA #Motherfucker #Threatening those that oppose #Fuhrer #Trump - Maybe the @FBI should look into this #Threat ? #LockHerUp #MarjorieTaylorGreene https://t.co/Fibq6QNuvo'",No threat,Safe,No impact,No impact,No impact,No
,"""Marjorie Taylor Greene"" - Is an #Antisemitic #Islamophobic #Racist #MAGA @QanonCandidate that #Threatens those that oppose #Fuhrer #Trump - Maybe the @FBI should look into this #Threat ? #LockHerUp #MarjorieTaylorGreene  @washingtonpost @nytimes @FaceTheNation #UnfitForOffice https://t.co/fokX47t5i5'",No threat,Safe,No impact,No impact,No impact,No
,"""One of the best ways that nurses can protect their patients\xe2\x80\x99 personal and health care-related information is to inform themselves about cybersecurity best practices. #cybersecurity #cybernews #cyberattack #cybercrime  https://t.co/xcAD47Ek8b'",No threat,Safe,No impact,No impact,No impact,No
,"""Preventing Man in the Middle Attacks - A How-To Guide"" https://t.co/FwkL0YwNhG #cybersecurity #cyberthreats'",No threat,Safe,No impact,No impact,No impact,No
,"""Recent events have raised concern about #potential #threats to #democracy within Western countries...""  WHO IS OPEN TO #AUTHORITARIAN #GOVERNANCE WITHIN #WESTERN #DEMOCRACIES?  By Ariel Malka, @ylelkes, @bnbakker &amp; Eliyahu Spivack  Now on #FirstView!  https://t.co/NVPFBNFjkO https://t.co/8vMTpjbnVy'",No threat,Safe,No impact,No impact,No impact,No
,"""The State of Infrastructure Security Amidst this Pandemic"" by @michaelusiagwu1 https://t.co/fWPggW8XyG #cybersecurityawareness #cyberattack'",No threat,Safe,No impact,No impact,No impact,No
,"""This book is packed with solid, reality-based information on how the average person can best protect themselves in the current day and age of malicious cyber activity.""  #Internetsafety #safebrowsing #cyberthreats https://t.co/YyigfYZGq0'",No threat,Safe,No impact,No impact,No impact,No
,"""We will see him in court"": #Chicago Mayor #LoriLightfoot pushes back on #Trump\'s threats to cut federal funds | @CBSNews  https://t.co/LIwIzjbv4O #Threats #Partisanship #TrumpThreats #Bullying #Intimidation #AbuseofPower'",No threat,Safe,No impact,No impact,No impact,No
,(ISC)2 publishes agenda for 2020 Security Congress https://t.co/qPEgk1YnpZ #Cyberattacks  #Cyberthreats https://t.co/AiBIToIRPR',Cyber,Safe,No impact,No impact,No impact,No
,(Pt.2) I pray that everyone who lost their lives that day are at peace and that their loved ones still grieving find strength! \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\xa4\x8d\xf0\x9f\x92\x99 #neverforget #callofduty #modernwarfare #warzone #cyberattack #multiplayer #ps4 #playstation #gamer #gamergirl #twitchstreamer #twitch #followme https://t.co/QcltDq0dDq',Physical,Safe,No impact,No impact,No impact,No
,[ Matrix engine ]  Rethinking  #IoT/OT  #Security to Mitigate  #cyberthreats   https://t.co/pcVr3WhqAr',Cyber,Safe,No impact,No impact,No impact,No
,"[Blog Post] #Phishing is not just about click attachments anymore, it\xe2\x80\x99s taken on new forms. With 40,000 new variants of #malware being developed each day, detecting an #emailattack requires constant vigilance  Read more here: https://t.co/ImrSeeg8v3  #emailprotection #cyberattack https://t.co/ucFnO4PUAr'",Cyber,Safe,No impact,No impact,No impact,Yes
,"[Podcast] @PhilEdmundson, CEO &amp; Founder, @CorvusInsurance speaks with host @RonGlozman about how commercial lines #insurance brokers can help clients better predict, prevent and prepare for cyber-threats: https://t.co/GrL1SV68oI #Cyber #CyberRisk #CyberAttack #Underwriting https://t.co/rp88LgRq6z'",Cyber,Safe,No impact,No impact,No impact,Yes
,"[Threatening Letters Sent to Garfield County Offices, Towns] https://t.co/XkSundtkUZ  Random #leftist #threats in Utah now\xe2\x80\xbd\xe2\x80\xbd \xf0\x9f\x98\xa0  #TheFearIsFabricated #STANDinSolidarity \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 #STANDtogether \xf0\x9f\x91\xa5'",Physical,Not safe,No impact,No impact,No impact,No
,"[ThreatPost] APT28 Mounts Rapid, Large-Scale Theft of Office 365 Logins --&gt; The Russia-linked threat group is harvesting credentials for Microsoft's cloud offering, and targeting mainly election-related organizations. by Tara Seals #ThreatPost https://t.co/3pCOpAvFE6""",Cyber,Safe,No impact,No impact,No impact,No
,[ThreatPost] Social Media: Thwarting The Phishing-Data Goldmine --&gt; Cybercriminals can use social media in many ways in order to trick employees. by Brian Foster #ThreatPost https://t.co/G01dOhTeZB',Cyber,Not safe,No impact,No impact,No impact,Yes
,"[WEBINAR] On Thurs Sept 17 at 10am ET, learn how we optimize our SOC and help customers prepare for #cyberthreats with streaming data and insights. Presented by @PhilipWerlau @MortenGram2 @MeetHumio. Register today! #SecOps #CyberSecurity https://t.co/wbZe0BWLtm'",No threat,Safe,No impact,No impact,No impact,Yes
,@_AGuyCalledKen @padraigsback @Dnthen24 Was still a #threat even when he was washed',No threat,Safe,No impact,No impact,No impact,No
,"@ABC @Popehat Which is WRONG,whether u like the results or not! #America #Politics #RuleOfLaw #WeHaveLaws #ThereAreRules #Whistleblower #Trump&amp; #TrumpAdministration(#GOP Usurpers,#Compromised #Politicians,#Traitors,&amp; #RINOS)#Downplaying #NationalSecurity #Threats #Again!(Like #Rice&amp; #Benghazi)'",No threat,Safe,No impact,No impact,No impact,No
,"@airnewsalerts China is an biggest #threat to the complete #Humanity &amp; to the #WholeWorld. All #Nation around #world shud Unite together against China &amp; Boycott China. Need #USA, #Russia, #ISRAIL, #India,#arabcountries, #Japan, #UK, #Korea, etc.. all shud stand together #united to warn China.'",Physical,Safe,No impact,No impact,No impact,No
,"@alertlogic today announced key innovation advancements to its leading managed detection and response  platform, including the industry\xe2\x80\x99s first #Threat detection solution designed specifically for custom web applications.  https://t.co/5m1LNntyBr'",Cyber,Safe,No impact,No impact,No impact,No
,"@AmbDermer #Trump #USA uses #threats #coercion #blackmail #intimidation including #threats of civil disobedience overthrow of governments if they don't do #America's bidding. All about #money #Power The #muslim world #divided #selfish, #palestinians hav been suffering4 #decades @sharethis!""",Physical,Possible safe,No impact,No impact,No impact,Yes
,"@amyklobuchar You know how you talked to Alexandria MN city council yesterday?  Well... there\'s something you should know about one of those ""leaders""  https://t.co/cjGqaERPiA #Abuse #scandal #harassment #threats #mayoralcandidate'",No threat,Safe,No impact,No impact,No impact,No
